,Income,Balance,Debt,Score,Default,term_labels
0,17500.0,1460.0,272.0,225.0,0,1
1,18500.0,890.0,970.0,187.0,0,0
2,20700.0,880.0,884.0,85.0,0,1
4,24300.0,1260.0,0.0,495.0,0,1
5,22900.0,1540.0,1229.0,383.0,0,0
6,20400.0,1200.0,0.0,556.0,0,1
7,24600.0,1470.0,0.0,301.0,0,1
8,26500.0,720.0,1866.0,243.0,0,0
9,25400.0,1130.0,0.0,729.0,1,1
10,19700.0,910.0,0.0,186.0,0,1
11,20600.0,820.0,1218.0,136.0,0,1
12,19300.0,1300.0,0.0,422.0,0,0
13,23700.0,1060.0,801.0,240.0,0,1
14,18800.0,970.0,1542.0,59.0,1,1
15,23200.0,610.0,0.0,325.0,0,1
16,18100.0,1020.0,2133.0,34.0,1,1
17,18400.0,940.0,892.0,195.0,1,1
18,17200.0,1140.0,855.0,128.0,0,1
19,20200.0,810.0,0.0,399.0,0,1
21,19900.0,1030.0,799.0,294.0,0,1
22,23100.0,1260.0,737.0,426.0,1,0
23,21200.0,730.0,975.0,88.0,0,1
24,16400.0,780.0,1076.0,145.0,0,1
25,21000.0,1480.0,0.0,447.0,0,1
26,18100.0,1090.0,0.0,168.0,0,1
27,23200.0,1260.0,460.0,487.0,0,1
28,17800.0,630.0,0.0,337.0,0,1
29,24100.0,800.0,0.0,380.0,0,1
30,17600.0,950.0,0.0,334.0,0,0
31,21800.0,940.0,568.0,244.0,0,1
32,22800.0,1060.0,1816.0,145.0,1,0
33,16600.0,730.0,0.0,257.0,0,1
34,22400.0,1220.0,1313.0,191.0,0,1
35,19500.0,1060.0,0.0,277.0,0,1
37,18800.0,800.0,324.0,347.0,0,1
38,19800.0,800.0,843.0,243.0,0,1
39,18700.0,580.0,0.0,233.0,0,1
40,23700.0,880.0,703.0,316.0,1,1
41,19800.0,940.0,0.0,371.0,0,1
42,20600.0,1640.0,91.0,517.0,0,1
43,14500.0,1110.0,0.0,296.0,0,0
44,25600.0,920.0,227.0,318.0,0,1
45,20200.0,920.0,1977.0,56.0,1,1
46,19900.0,900.0,438.0,338.0,0,1
47,19000.0,640.0,449.0,201.0,0,1
48,17400.0,1360.0,0.0,324.0,0,1
49,21300.0,830.0,793.0,237.0,0,1
50,23600.0,860.0,0.0,350.0,0,0
51,18600.0,520.0,500.0,268.0,0,1
52,20000.0,1220.0,2698.0,10.0,1,1
53,17700.0,640.0,0.0,289.0,0,1
54,25000.0,1360.0,0.0,465.0,0,1
55,20400.0,1040.0,446.0,247.0,0,1
56,20000.0,1080.0,0.0,505.0,0,1
57,21200.0,1020.0,984.0,250.0,0,1
58,28300.0,1070.0,1010.0,507.0,0,1
59,15300.0,1200.0,0.0,273.0,0,1
60,18400.0,1070.0,535.0,216.0,0,1
62,16600.0,1180.0,539.0,245.0,0,1
63,17600.0,900.0,518.0,221.0,0,0
64,21400.0,820.0,234.0,369.0,0,0
65,21400.0,870.0,271.0,310.0,0,1
66,19800.0,1260.0,0.0,229.0,0,1
67,18700.0,390.0,0.0,349.0,0,1
68,23300.0,1290.0,0.0,218.0,0,1
69,22600.0,1140.0,979.0,258.0,1,1
70,18800.0,1090.0,0.0,301.0,0,1
71,20600.0,630.0,758.0,265.0,0,1
72,25800.0,510.0,0.0,337.0,0,0
73,16100.0,900.0,0.0,294.0,0,1
74,21500.0,930.0,0.0,364.0,0,0
75,23900.0,620.0,0.0,225.0,0,1
76,24200.0,1160.0,0.0,341.0,0,1
77,22100.0,1630.0,0.0,582.0,0,1
78,20400.0,1090.0,0.0,406.0,0,1
79,22100.0,950.0,416.0,353.0,0,1
80,23500.0,650.0,0.0,348.0,0,1
81,17900.0,970.0,845.0,108.0,0,0
82,18200.0,1170.0,499.0,287.0,0,0
83,21900.0,1160.0,0.0,155.0,0,1
84,21800.0,1640.0,1055.0,272.0,1,1
85,24400.0,750.0,2573.0,71.0,1,1
87,19800.0,830.0,1172.0,215.0,0,1
88,22300.0,1210.0,0.0,424.0,0,1
89,24000.0,990.0,0.0,541.0,0,1
90,17600.0,1010.0,556.0,350.0,0,0
91,19800.0,1370.0,694.0,363.0,0,1
92,15000.0,1040.0,417.0,83.0,0,1
93,18900.0,1170.0,706.0,153.0,0,1
94,26600.0,980.0,0.0,308.0,0,1
95,19400.0,1080.0,0.0,436.0,0,1
96,19000.0,1550.0,366.0,228.0,0,1
97,22900.0,1380.0,0.0,174.0,0,0
98,21400.0,1050.0,0.0,453.0,0,1
99,18000.0,910.0,261.0,362.0,0,1
100,19200.0,1010.0,0.0,242.0,0,1
101,19500.0,630.0,416.0,280.0,0,1
102,20400.0,880.0,256.0,224.0,0,1
103,20800.0,1220.0,0.0,347.0,0,1
104,18100.0,850.0,0.0,274.0,0,1
105,22100.0,910.0,0.0,531.0,0,1
106,21700.0,910.0,171.0,425.0,0,1
107,24300.0,850.0,0.0,254.0,0,1
108,21900.0,990.0,0.0,429.0,0,1
109,22200.0,1300.0,0.0,285.0,0,0
110,20400.0,1230.0,1352.0,237.0,0,0
111,17300.0,1190.0,0.0,324.0,0,1
112,22700.0,1070.0,0.0,415.0,0,1
113,22600.0,1470.0,0.0,433.0,0,0
114,20000.0,690.0,1378.0,141.0,0,1
115,16900.0,900.0,1170.0,116.0,0,1
116,21700.0,1030.0,0.0,608.0,0,1
117,20200.0,1230.0,0.0,309.0,0,1
118,24800.0,760.0,0.0,554.0,0,1
119,22300.0,700.0,1388.0,198.0,0,1
120,18500.0,990.0,65.0,381.0,0,1
121,25200.0,1300.0,804.0,583.0,0,1
122,19200.0,1410.0,0.0,134.0,0,0
123,18400.0,1210.0,0.0,403.0,0,1
124,24600.0,1200.0,0.0,385.0,1,1
125,20500.0,1210.0,1471.0,193.0,1,1
126,22900.0,910.0,284.0,256.0,0,0
127,22500.0,830.0,1027.0,145.0,0,1
128,23000.0,1010.0,930.0,325.0,0,0
129,16900.0,1310.0,162.0,166.0,0,1
130,15800.0,1440.0,228.0,198.0,0,1
131,19300.0,970.0,455.0,357.0,0,1
132,17900.0,950.0,0.0,86.0,0,1
133,15900.0,1010.0,0.0,344.0,0,1
134,17700.0,1940.0,0.0,309.0,0,1
135,15100.0,1340.0,0.0,215.0,0,0
136,20500.0,1120.0,0.0,427.0,0,1
137,17900.0,1000.0,0.0,130.0,0,1
138,21600.0,730.0,1119.0,184.0,0,0
139,21700.0,1000.0,270.0,330.0,0,1
140,19000.0,140.0,1185.0,125.0,0,0
141,23100.0,1200.0,0.0,333.0,0,1
142,23200.0,1310.0,2003.0,264.0,1,1
143,19200.0,640.0,322.0,130.0,0,1
144,19800.0,1140.0,0.0,193.0,0,1
145,20700.0,950.0,1089.0,310.0,0,1
146,21600.0,770.0,330.0,290.0,0,1
147,19900.0,740.0,0.0,403.0,0,0
148,19600.0,1300.0,0.0,338.0,0,0
149,17500.0,1040.0,1695.0,89.0,1,1
