station_id,name,lat,long,install_date,install_dockcount,modification_date,current_dockcount,decommission_date
BT-01,3rd Ave & Broad St,47.618418,-122.350964,2014-10-13,18,,18,
BT-03,2nd Ave & Vine St,47.615829,-122.348564,2014-10-13,16,,16,
BT-04,6th Ave & Blanchard St,47.616094,-122.341102,2014-10-13,16,,16,
BT-05,2nd Ave & Blanchard St,47.61311,-122.344208,2014-10-13,14,,14,
CBD-03,7th Ave & Union St,47.610731,-122.332447,2014-10-13,20,,20,
CBD-04,Union St & 4th Ave,47.609221,-122.335596,2015-07-27,18,,18,
CBD-05,1st Ave & Marion St,47.604058,-122.3358,2014-10-13,20,,20,
CBD-06,2nd Ave & Spring St,47.60595,-122.335768,2014-10-13,20,2015-11-09,18,
CBD-07,City Hall / 4th Ave & James St,47.603509,-122.330409,2014-10-13,20,,20,
CBD-13,2nd Ave & Pine St,47.610185,-122.339641,2014-10-13,18,,18,
CD-01,12th Ave & E Yesler Way,47.602103,-122.316923,2015-05-22,16,2016-08-09,0,2016-08-09
CH-01,Summit Ave & E Denny Way,47.618633,-122.325249,2014-10-13,16,,16,
CH-02,E Harrison St & Broadway Ave E,47.622063,-122.321251,2014-10-13,18,2015-02-24,20,
CH-03,Summit Ave E & E Republican St,47.623367,-122.325279,2014-10-13,16,,16,
CH-05,15th Ave E & E Thomas St,47.620712,-122.312805,2014-10-13,16,,16,
CH-06,12th Ave & E Denny Way,47.618549,-122.317017,2014-10-13,16,,16,
CH-07,E Pine St & 16th Ave,47.61533,-122.311752,2014-10-13,18,,18,
CH-08,Cal Anderson Park / 11th Ave & Pine St,47.615486,-122.318245,2014-10-13,28,2015-02-24,26,
CH-09,Harvard Ave & E Pine St,47.615517,-122.322083,2014-10-13,16,,16,
CH-12,Bellevue Ave & E Pine St,47.615456,-122.326729,2014-10-13,18,,14,
CH-15,12th Ave & E Mercer St,47.624142,-122.316811,2014-10-13,16,,16,
DPD-01,9th Ave N & Mercer St,47.624298,-122.339617,2014-10-13,18,,18,
DPD-03,Children's Hospital / Sandpoint Way NE & 40th Ave NE,47.663509,-122.284119,2014-10-13,30,2015-03-24,24,
EL-01,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,47.627643,-122.332576,2014-10-13,12,2015-03-27,16,
EL-03,E Blaine St & Fairview Ave E,47.634831,-122.326634,2014-10-13,18,,18,
EL-05,Eastlake Ave E & E Allison St,47.64909,-122.322983,2014-10-13,18,,18,
FH-01,Frye Art Museum / Terry Ave & Columbia St,47.607281,-122.324783,2014-10-13,16,2016-03-18,0,2016-03-18
FH-04,Seattle University / E Columbia St & 12th Ave,47.609239,-122.316651,2014-10-13,20,,20,
ID-04,6th Ave S & S King St,47.598488,-122.326412,2014-10-13,16,,16,
PS-04,Occidental Park / Occidental Ave S & S Washington St,47.600757,-122.332946,2014-10-13,18,,18,
